case,ret,status,passed,failed,broken,skipped,warnings,all
confstr01,0,passed,34,0,0,0,0,34
getcontext01,0,passed,2,0,0,0,0,2
getdomainname01,0,passed,1,0,0,0,0,1
getegid01,0,passed,1,0,0,0,0,1
getegid01_16,0,passed,1,0,0,0,0,1
getegid02,0,passed,1,0,0,0,0,1
getegid02_16,0,passed,1,0,0,0,0,1
geteuid01,0,passed,1,0,0,0,0,1
getgid01,0,passed,1,0,0,0,0,1
getgid03,0,passed,1,0,0,0,0,1
gethostbyname_r01,0,passed,1,0,0,0,0,1
gethostid01,0,passed,5,0,0,0,0,5
gethostname01,0,passed,1,0,0,0,0,1
gethostname02,0,passed,1,0,0,0,0,1
getpagesize01,0,passed,1,0,0,0,0,1
getpgid01,0,passed,8,0,0,0,0,8
getpgid02,0,passed,2,0,0,0,0,2
getpgrp01,0,passed,2,0,0,0,0,2
getpid01,0,passed,100,0,0,0,0,100
getpid02,0,passed,2,0,0,0,0,2
getppid01,0,passed,1,0,0,0,0,1
getppid02,0,passed,1,0,0,0,0,1
getrusage01,0,passed,2,0,0,0,0,2
getrusage02,0,passed,3,0,0,1,0,4
gettid01,0,passed,2,0,0,0,0,2
gettid02,0,passed,11,0,0,0,0,11
getuid01,0,passed,1,0,0,0,0,1
getuid03,0,passed,2,0,0,0,0,2
setdomainname02,0,passed,6,0,0,0,0,6
sethostname02,0,passed,6,0,0,0,0,6
sethostname03,0,passed,2,0,0,0,0,2
syscall01,0,passed,3,0,0,0,0,3
uname01,0,passed,2,0,0,0,0,2
uname02,0,passed,1,0,0,0,0,1
uname04,0,passed,2,0,0,0,0,2
utsname01,0,passed,1,0,0,0,0,1
utsname04,0,passed,2,0,0,0,0,2
gettimeofday01,0,passed,3,0,0,0,0,3
gettimeofday02,0,passed,1,0,0,0,0,1
settimeofday02,0,passed,3,0,0,0,0,3
time01,0,passed,2,0,0,0,0,2
times01,0,passed,1,0,0,0,0,1
times03,0,passed,12,0,0,0,0,12
adjtimex01,0,passed,2,0,0,0,0,2
alarm02,0,passed,6,0,0,0,0,6
alarm03,0,passed,2,0,0,0,0,2
alarm06,0,passed,2,0,0,0,0,2
alarm07,0,passed,2,0,0,0,0,2
clock_adjtime01,0,passed,9,0,0,0,0,9
clock_adjtime02,1,failed,4,2,0,0,0,6
clock_getres01,0,passed,44,0,0,0,0,44
clock_gettime01,0,passed,16,0,0,0,0,16
clock_gettime02,1,failed,8,2,0,0,0,10
